fsp,ont_id,serial_number,control_flag,run_state,config_state,match_state,protect_side,description
0/ 0/0,0,F6JO2SI8TTKDYDRC,active,offline,initial,initial,no,The quiet rifle stinks.        
0/ 0/0,1,R2PQNML2L0SI92ZN,active,offline,initial,initial,no,The barbarous take-out rolls.  
0/ 0/0,2,0LZ7H0PCJOH4UGCH,active,online,normal,match,no,The tender handmaiden places.  
0/ 0/0,3,NRDJVRAI8Z3V4I4W,active,offline,initial,initial,no,The husky elongation types.    
0/ 0/0,4,PVDWI3METQ3PRRLV,active,,,,yes,The wise emanate snows.        
0/ 0/0,5,MLA9MZJ0281C0XLK,active,online,normal,mismatch,no,The stereotyped eddy analyzes. 
0/ 0/0,6,MU94N3374BXT31PC,active,online,normal,mismatch,no,The painful pancreas presents. 
0/ 0/0,7,3MBM04QWXCCENRGH,active,online,normal,mismatch,no,The unadvised gopher keeps.    
0/ 0/0,8,9KYC0LNT1AWTMFRP,active,online,normal,match,no,The threatening media keeps.   
0/ 0/0,9,1SY4IU9PRO1G00N7,active,online,normal,mismatch,no,The possessive beetle memorizes.
0/ 0/0,10,CT0VHHH2FDI2UQLX,active,offline,initial,initial,no,The cautious hand-holding zips.
0/ 0/0,11,PT8P24IDSRLOGMHS,active,offline,initial,initial,no,The shaggy parsnip informs.    
0/ 0/0,12,A5N97LH1IWH4YG96,active,online,normal,mismatch,no,The alluring rank slinks.      
0/ 0/0,13,X8ZIIV5P0F6XJJQD,active,online,normal,match,no,The precious penny touches.    
0/ 0/1,0,5BADC124907X18C1,active,,,,yes,The obeisant murder arrests.   
0/ 0/1,1,V5YNL7GYWKLF8CZD,active,online,normal,match,no,The greedy cockpit withstands. 
0/ 0/1,2,P9136YVR7XHQOQKY,active,offline,initial,initial,no,The abaft walker intensifies.  
0/ 0/1,3,HDUGVANP0333VHD5,active,,,,yes,The yielding imagination slaps.
0/ 0/1,4,EH9NJ7GLQGPEJ8OG,active,offline,initial,initial,no,The unadvised councilman disappears.
0/ 0/1,5,E910KFL8U06JH81Q,active,online,normal,match,no,The taboo will verbalizes.     
0/ 0/1,6,9HCYGBJDU6TWJW2I,active,offline,initial,initial,no,The frightened grouse scratches.
0/ 0/1,7,XIVB2P9EWK6R5518,active,,,,yes,The flagrant jeep occurs.      
0/ 0/1,8,WB0R64OUTZUWMD3R,active,online,normal,mismatch,no,The lopsided variability grates.
0/ 0/1,9,05WSVCUK7XQSQTJX,active,,,,yes,The berserk problem coils.     
0/ 0/1,10,W9X2N3QT8IDF79T1,active,online,normal,match,no,The unusual cyclone knots.     
0/ 0/1,11,IIMK3295G6V4GWEN,active,,,,yes,The blushing mango maintains.  
0/ 0/1,12,S2K805GCSKBDI3GX,active,offline,initial,initial,no,The red former slows.          
0/ 0/1,13,7NECMHS9N0KC3LU5,active,online,normal,match,no,The disgusted serval contracts.
0/ 0/1,14,BQOQQA8QNTWYZ2ZF,active,offline,initial,initial,no,The embarrassed trooper brings.
0/ 0/1,15,GQP9GIZHJ6TTFMT1,active,online,normal,mismatch,no,The kind turnip wends.         
0/ 0/1,16,228TNHM59MXVCXAR,active,offline,initial,initial,no,The foolish wastebasket unifies.
0/ 0/1,17,03XRVNRO9YXH7AV5,active,online,normal,match,no,The shiny disarmament sacks.   
0/ 0/1,18,38CPKZ9CO1YTM8TT,active,online,normal,match,no,The nappy kitty formulates.    
0/ 0/1,19,47VRT63PLLI6P2WX,active,online,normal,match,no,The laughable ambiguity fires. 
0/ 0/1,20,M7XKOPD5XP12YV2Q,active,,,,yes,The new bag tastes.            
0/ 0/1,21,N34U7979E0MN3X51,active,online,normal,match,no,The abounding takeover melts.  
0/ 0/1,22,TNMBEW9HQSJPM35M,active,online,normal,mismatch,no,The grumpy snowstorm spots.    
0/ 0/1,23,O8R2MJLR5187MW31,active,,,,yes,The eminent protocol inspires. 
0/ 0/1,24,64H6CZIOESZR06H9,active,online,normal,mismatch,no,The ancient aid delays.        
0/ 0/1,25,MOTA7XJ4PBOEE9UC,active,online,normal,match,no,The tawdry symmetry flowers.   
0/ 0/1,26,UGILGWI4FOQPXWWM,active,online,normal,match,no,The nosy gateway impresses.    
0/ 0/2,0,LOOASWRZI8T0U07V,active,offline,initial,initial,no,The exultant weasel becomes.   
0/ 0/2,1,WMYWZXCG3K3ZJ90X,active,online,normal,match,no,The sordid chain calculates.   
0/ 0/2,2,RUK89ESJP4HW0VRD,active,online,normal,match,no,The used pug relaxes.          
0/ 0/2,3,Z8PHF25F26GNOFUC,active,,,,yes,The obsequious shallot besets. 
0/ 0/2,4,UYLT92CNYQ6QPG2Y,active,offline,initial,initial,no,The chivalrous platform guarantees.
0/ 0/3,0,YSSL5K95PTGLJ81F,active,offline,initial,initial,no,The hospitable naming appraises.
