fsp,ont_id,serial_number,control_flag,run_state,config_state,match_state,protect_side,description
0/ 0/0,0,NDI96LK4M1U5F3XM,active,online,normal,match,no,The festive ownership admires.
0/ 0/0,1,G2ODIIMPGUYSSFVC,active,online,normal,mismatch,no,The ambiguous killing thrusts.
0/ 0/0,2,TRUQ50LPLJUIZVZ6,active,online,normal,mismatch,no,The daffy collateral verbalizes.
0/ 0/0,3,4YSA6F7SZMP068WE,active,,,,yes,The frantic head identifies.
0/ 0/0,4,MK316Y9O6AOXO33R,active,,,,yes,The knotty demon rocks.
0/ 0/1,0,TYUJW3XJ8WQLOAN6,active,online,normal,match,no,The combative magnet shuts.
0/ 0/1,1,EMSVRLSFIM6UGZFP,active,online,normal,match,no,The wanting clavier begins.
0/ 0/1,2,EUS9O083R19HZTLZ,active,online,normal,match,no,The boring pouch turns.
0/ 0/1,3,X03YB8PMVSDFCIPL,active,online,normal,match,no,The square step-son collects.
0/ 0/1,4,3I8EIU2P9850UGHE,active,,,,yes,The blue-eyed assessment settles.
0/ 0/1,5,XC50HUPI12CWDZ80,active,,,,yes,The lean railway marches.
0/ 0/1,6,XSI47V1PQFX4SSPM,active,,,,yes,The amused freezer pines.
0/ 0/1,7,EDWLTEMYD1S19INM,active,online,normal,mismatch,no,The warm prairie ticks.
0/ 0/1,8,F7GB0QHBTH1JIGUP,active,,,,yes,The gaping private stains.
0/ 0/1,9,O3LXLKP6JGMGW6S2,active,online,normal,mismatch,no,The optimal gesture damages.
0/ 0/1,10,3MYU0KXYIMONSJ3A,active,,,,yes,The reminiscent infusion kepts.
0/ 0/1,11,IKZ6UYOZQ4VVHXPK,active,online,normal,match,no,The placid violin undertakes.
0/ 0/1,12,ZZQLCKU4BFAM06YQ,active,offline,initial,initial,no,The average dependency exercises.
0/ 0/1,13,RTY058Y0O0TJ4563,active,,,,yes,The tasteful pace thrives.
0/ 0/1,14,M2WIUZWLS28PGW6K,active,online,normal,match,no,The narrow survival produces.
0/ 0/1,15,AG82BIOXWXG1DZIJ,active,,,,yes,The rustic rooster tests.
0/ 0/1,16,3BRBS4JB8RPPPDQ3,active,offline,initial,initial,no,The concerned call disagrees.
0/ 0/1,17,3JM0D8Q28PL1TYB6,active,,,,yes,The astonishing nut catches.
0/ 0/1,18,GR4RJI3K56R7XFAE,active,,,,yes,The knotty mail swears.
0/ 0/1,19,FD5JD52SF1KRVK1X,active,,,,yes,The gaudy bench blots.
0/ 0/1,20,HA2XEXKZCFEBO9SO,active,offline,initial,initial,no,The boorish creme brulee collects.
0/ 0/2,0,BMHHWLH15Z3GG6SF,active,online,normal,mismatch,no,The powerful strength reports.
0/ 0/2,1,0QQ8L7XZ5BHXX1LJ,active,online,normal,mismatch,no,The colossal forearm interprets.
0/ 0/2,2,A56N00O1EXJUDW9G,active,offline,initial,initial,no,The legal earring floods.
0/ 0/2,3,MD6CEU4YV2D6O8EP,active,online,normal,match,no,The lethal littleneck means.
0/ 0/2,4,OT9OH5N58CRIVWTM,active,offline,initial,initial,no,The teeny beetle concentrates.
0/ 0/3,0,EQEHMJM6FGKZ4R04,active,offline,initial,initial,no,The periodic valance compiles.
0/ 0/3,1,YFEF1K5AJEPNW6EE,active,online,normal,match,no,The ill mambo counsels.
0/ 0/4,0,J5ZRB724UDES6MH9,active,online,normal,mismatch,no,The rabid racist wanders.
0/ 0/4,1,CM6IEKV9759G5MLY,active,online,normal,mismatch,no,The dry lace forgets.
0/ 0/4,2,C48OF7TSCIK8K97H,active,offline,initial,initial,no,The panoramic corner covers.
0/ 0/4,3,TVLWF60QFQ02E1FJ,active,online,normal,match,no,The toothsome hit dissects.
0/ 0/4,4,5T9Q8DTZBOUSS6OO,active,offline,initial,initial,no,The imperfect caper embarrasses.
0/ 0/4,5,NBUHX22MZGZQDUD3,active,online,normal,match,no,The wacky elongation paints.
0/ 0/4,6,J8SVDKJYTHQE6JXZ,active,,,,yes,The difficult general winds.
0/ 0/4,7,K1J5TMC1W9X1BE0O,active,online,normal,match,no,The detailed ton guarantees.
0/ 0/4,8,0OC01JFVL1AU03DZ,active,online,normal,match,no,The anxious recipient blinds.
0/ 0/4,9,AYW3M152ZRJM22J5,active,,,,yes,The understood parcel tastes.
0/ 0/4,10,AQ1D4698V5T3RWPB,active,offline,initial,initial,no,The shaggy donut lends.
0/ 0/4,11,8K1S1DUDKVH66XFF,active,online,normal,mismatch,no,The spiffy likeness invents.
0/ 0/4,12,TXV9WN7HTFBXNDK4,active,offline,initial,initial,no,The scary perch matches.
0/ 0/4,13,GMWB0P797ETHNCSI,active,,,,yes,The glamorous agenda competes.
0/ 0/4,14,K0ECHYZU2TWGQQNO,active,,,,yes,The brainy reach shares.
0/ 0/4,15,PMQ0ZNP8CYQ7P5R1,active,online,normal,mismatch,no,The smiling insect bolts.
0/ 0/4,16,Q76C19N6OG4HW2QJ,active,online,normal,match,no,The quarrelsome faith whirls.
0/ 0/4,17,3JUM3FGUZ9RDI63J,active,online,normal,mismatch,no,The squalid chairlift forsakes.
0/ 0/4,18,KLH92BOM25091Y53,active,online,normal,mismatch,no,The gamy screen consists.
0/ 0/4,19,I8K2P9PYCK1ZZJJO,active,online,normal,match,no,The barbarous garden puts.
0/ 0/5,0,XQ7DE5M7B9K0IPVG,active,online,normal,match,no,The efficient anxiety applieds.
0/ 0/5,1,88G0509WZQTGP2PH,active,online,normal,mismatch,no,The maniacal calculator causes.
0/ 0/5,2,PG9OLEKFBRB60QBT,active,online,normal,mismatch,no,The jolly horizon overdos.
0/ 0/5,3,KMB1W6HRFVEUMSYG,active,offline,initial,initial,no,The sloppy blackness entertains.
0/ 0/5,4,XMY18FY5AECDDCQF,active,online,normal,mismatch,no,The important woolens greets.
0/ 0/5,5,3MF8YK5AIH2BJO2L,active,offline,initial,initial,no,The equable prose removes.
0/ 0/5,6,3PQ2K5Y7OFJBL6EN,active,online,normal,match,no,The dynamic constellation insures.
0/ 0/5,7,8RZE9ODSVT2V2UK4,active,online,normal,mismatch,no,The aquatic spandex unlocks.
0/ 0/5,8,G10YWIXI5CMRYZAL,active,offline,initial,initial,no,The careful campaign films.
0/ 0/5,9,PMCNNVA7DWJ4ZQ3R,active,,,,yes,The curly conference pleases.
0/ 0/5,10,M0BH8SQZBYDJYMZE,active,offline,initial,initial,no,The slimy hail examines.
0/ 0/5,11,O22I66VG78LK06HL,active,offline,initial,initial,no,The dusty homicide manages.
0/ 0/5,12,J48DIOF0XO8DYQYS,active,online,normal,match,no,The abaft cleavage performs.
0/ 0/5,13,UMSSVURE2TW05F4D,active,online,normal,match,no,The exclusive marshland perfects.
0/ 0/5,14,T7WFC1ZD627UI80V,active,,,,yes,The finicky vanilla interprets.
0/ 0/5,15,PAKT2ACF83ST1PVE,active,online,normal,match,no,The depressed swordfish comes.
0/ 0/5,16,7HYXJW4W74G2JOJ9,active,online,normal,match,no,The husky apse moves.
0/ 0/5,17,8RV1IUOEC60SJ4FB,active,online,normal,match,no,The thundering rain breeds.
0/ 0/5,18,UG7DJTRR05BFHGYF,active,offline,initial,initial,no,The elegant gather withstands.
0/ 0/5,19,O54Y27PGHGMCD04T,active,online,normal,match,no,The sassy ethernet shops.
0/ 0/6,0,84JM4VKUACCIKDJK,active,online,normal,match,no,The wonderful export knows.
0/ 0/7,0,KHKJCYN2BK3635GC,active,,,,yes,The vivacious manufacturer muddles.
0/ 0/7,1,PX88MXWAH8631KCI,active,,,,yes,The foamy hut phones.
0/ 0/7,2,E3MO6QADUCGBC3MX,active,,,,yes,The fluttering pentagon studies.
0/ 0/7,3,6QGO6ZJHBLCNKKXV,active,offline,initial,initial,no,The hapless diner influences.
0/ 0/7,4,GNZOBQ2YLZ89WM1B,active,online,normal,mismatch,no,The high wallaby appraises.
0/ 0/7,5,8VDJBI4LCZXL6WBC,active,online,normal,match,no,The uneven bugle inspires.
0/ 0/7,6,J7LH99EMQXCAXEX9,active,online,normal,match,no,The legal vanadyl lies.
0/ 0/7,7,V96K358J3B4UQCL9,active,online,normal,mismatch,no,The icky towel bangs.
0/ 0/7,8,HUSPP3UY3QBPN4MH,active,online,normal,match,no,The quick history attaches.
0/ 0/7,9,CTEOSY47LVEVZ7U9,active,offline,initial,initial,no,The uttermost sidecar clarifies.
0/ 0/7,10,EDZR0FOSC4ZII0SC,active,offline,initial,initial,no,The tested soda scares.
0/ 0/7,11,ZSAHDCYOI2RB7E5Q,active,offline,initial,initial,no,The calm zone deals.
0/ 0/7,12,ZLB3IVOX29NTMPTX,active,offline,initial,initial,no,The undesirable column smites.
0/ 0/7,13,DL7R87G745JE2JFK,active,online,normal,mismatch,no,The marked personal editeds.
0/ 0/7,14,E7XQII8IWFZGVE5Z,active,online,normal,match,no,The sticky hugger promises.
0/ 0/7,15,V4QWFEOFBGGLCH1C,active,,,,yes,The long footstep pokes.
0/ 0/7,16,QDQWBZMLIQ41O43V,active,,,,yes,The scintillating discharge anticipates.
0/ 0/8,0,2FMWA2I5JS95T8SV,active,offline,initial,initial,no,The romantic gravity throws.
0/ 0/8,1,V167OVDEWOU1ANIK,active,online,normal,match,no,The bizarre questioner changes.
0/ 0/8,2,YLWQKDSB2MHI2ZOE,active,,,,yes,The vivacious deformation folds.
0/ 0/8,3,1XMZY1NUNUXGJ93M,active,online,normal,match,no,The uppity march precedes.
0/ 0/8,4,3DIFIL3Y1VA0GFNT,active,offline,initial,initial,no,The red difficulty dispenses.
0/ 0/8,5,W3FTE5P5BA9I099I,active,online,normal,match,no,The wretched occasion formulates.
0/ 0/8,6,WTPMRWQLNKZXKJJE,active,online,normal,mismatch,no,The funny secretion drags.
0/ 0/8,7,W2FUS9MPMCLAEYN2,active,offline,initial,initial,no,The knotty sulfur transports.
0/ 0/8,8,SQOFGQONXZ9IRE6H,active,online,normal,mismatch,no,The ultra pocketbook flaps.
0/ 0/8,9,AQRH5XCAQ2J8OA89,active,,,,yes,The strange toga nominates.
0/ 0/8,10,Y2XKVXHP675XNA36,active,online,normal,match,no,The vengeful seminar tips.
0/ 0/8,11,G5CIHILVTL0JDWKK,active,offline,initial,initial,no,The horrible can answers.
0/ 0/8,12,8987X479TG2B41GY,active,,,,yes,The lyrical ecumenist peels.
0/ 0/8,13,Q3SY47F5880PJFOF,active,offline,initial,initial,no,The tawdry deer drafts.
0/ 0/8,14,SO9KQEP0V1BTD2WP,active,offline,initial,initial,no,The dry coinsurance milks.
0/ 0/8,15,ETRXP19AWNCFD6GN,active,online,normal,mismatch,no,The astonishing paperback synthesizes.
