fsp,ont_id,sn,control_flag,run_state,config_state,match_state,protect_side,description
0/ 0/0,0,ECQJ9CS7DQ9QRUI0,active,online,normal,match,no,The rabid question divides.
0/ 0/0,1,TCX2TKE0FQMANPLA,active,online,normal,mismatch,no,The nervous blowgun overdos.
0/ 0/0,2,38RQF12P1UD5ETPP,active,-,-,-,yes,The jazzy poverty monitors.
0/ 0/0,3,A3K8IHLIZHAINSOM,active,online,normal,mismatch,no,The sable foam foresees.
0/ 0/0,4,Z5Q2GAUAAMU3A0CQ,active,online,normal,mismatch,no,The sparkling void programs.
0/ 0/0,5,WPTS3CXQ9N8IYY0Q,active,offline,initial,initial,no,The oval doctrine guards.
0/ 0/0,6,XSK5XRL5LT9VG8TH,active,offline,initial,initial,no,The capable police suspends.
0/ 0/0,7,0Q90KPM552ELJNRA,active,offline,initial,initial,no,The likeable queen reviews.
0/ 0/0,8,XS0QXVKAS5RKCAIE,active,online,normal,match,no,The gaping brocolli realizes.
0/ 0/0,9,AS53DVXJW1O2C2T1,active,online,normal,mismatch,no,The gorgeous platelet screams.
0/ 0/0,10,RCY4OBVWIFTXCD92,active,online,normal,match,no,The elated nature interests.
0/ 0/0,11,UAE31RJYJ7QAN711,active,online,normal,match,no,The wry bet foresees.
0/ 0/0,12,4GA1APE4UXDR4KKW,active,offline,initial,initial,no,The squealing lake kicks.
0/ 0/1,0,16BXJFH3GKHPNP45,active,offline,initial,initial,no,The sedate venti bleeds.
0/ 0/2,0,LHTXOICSKXACRGFI,active,-,-,-,yes,The excited maracas speaks.
0/ 0/2,1,T789NSL8W1JWRW1K,active,offline,initial,initial,no,The sneaky visual types.
0/ 0/2,2,GCKT0OIHQ9NT0AXQ,active,online,normal,mismatch,no,The itchy yang troubleshoots.
0/ 0/2,3,1C1FTAQMAG8359P6,active,online,normal,mismatch,no,The piquant strip reinforces.
0/ 0/2,4,UPDKSD24UW7OYM1U,active,online,normal,match,no,The brave sock briefs.
0/ 0/2,5,FRVZNQ6W114L7H9I,active,online,normal,match,no,The robust optimization disagrees.
0/ 0/2,6,1GVL7KWA9KGRCIBT,active,offline,initial,initial,no,The quiet spyglass dreams.
0/ 0/2,7,SKAPTJGDL7PTW191,active,online,normal,match,no,The gamy mortise matters.
0/ 0/2,8,RNZD088MAWFMALEY,active,offline,initial,initial,no,The fresh yam transports.
0/ 0/2,9,5N5HWBT7HXKSY8CG,active,online,normal,mismatch,no,The tiresome dusk forbids.
0/ 0/2,10,AYLSWM1KD91K4P5E,active,-,-,-,yes,The square molecule fades.
0/ 0/2,11,0P1M1E1MNCTYT7TV,active,offline,initial,initial,no,The habitual sir posts.
0/ 0/2,12,LX9WRMTKPEU8VG8Z,active,-,-,-,yes,The foolish vegetarianism trains.
0/ 0/2,13,VB1AZFIEPAXMHJ0Y,active,online,normal,mismatch,no,The eatable chatter drowns.
0/ 0/2,14,406LJ36Z9QMTM70G,active,-,-,-,yes,The feigned smuggling sucks.
0/ 0/2,15,XFBBZAASIZP5X718,active,online,normal,match,no,The encouraging homework zips.
0/ 0/2,16,62KGEX6EFEG7F42Y,active,online,normal,mismatch,no,The debonair puffin rejoices.
0/ 0/2,17,0BGG9M9JZZV29L2R,active,offline,initial,initial,no,The relieved mill damages.
0/ 0/2,18,OW8PMN1DPBBH8BHZ,active,-,-,-,yes,The maddening surplus washes.
0/ 0/2,19,77VA4509PD3BOD9Y,active,-,-,-,yes,The ambitious writer breathes.
0/ 0/2,20,Y4RNOKUUD3VXDKIT,active,online,normal,match,no,The wandering stupidity agrees.
0/ 0/2,21,07AL1WYOM2DDA9RY,active,-,-,-,yes,The ritzy chairman maps.
0/ 0/2,22,EGNGEQ0QELRC0RNE,active,online,normal,mismatch,no,The orange pottery orders.
0/ 0/2,23,57G3YOOY5OHKZRTY,active,offline,initial,initial,no,The fascinated provider injects.
0/ 0/2,24,L8B3A4QBX27SKONC,active,-,-,-,yes,The wee nerve concludes.
0/ 0/2,25,LKISQKLSCN052BYM,active,online,normal,mismatch,no,The cynical pail amuses.
0/ 0/2,26,MOYLOMMWPZPLIHFL,active,online,normal,match,no,The secretive apparatus sparks.
0/ 0/3,0,PK2O5GX8GRV095E8,active,online,normal,match,no,The changeable pace tests.
0/ 0/3,1,F0IP349KWTX2TB1S,active,online,normal,match,no,The literate bench matters.
0/ 0/3,2,ER0YNKEOCXO4VFL3,active,-,-,-,yes,The muddy training bends.
0/ 0/3,3,199QHX4ABQGYX022,active,-,-,-,yes,The ambiguous beach welcomes.
0/ 0/3,4,NTP235G3JBBI3F47,active,offline,initial,initial,no,The venomous skylight handles.
0/ 0/3,5,1Y9QUZUNKO6P7CAD,active,online,normal,mismatch,no,The yummy strife thanks.
0/ 0/3,6,4SJHV8NV6Z61LC47,active,online,normal,match,no,The important boycott summarizes.
0/ 0/3,7,JBZ3NAO5K1C13MD0,active,-,-,-,yes,The ratty globe seals.
0/ 0/3,8,B2DGJ95T4I0TGBJZ,active,online,normal,mismatch,no,The outstanding jewellery numbers.
0/ 0/3,9,031VUYWSR5OTGZP5,active,online,normal,match,no,The shocking jasmine obeys.
0/ 0/3,10,CD93NHT40ZK72XU2,active,online,normal,match,no,The tangy trick monitors.
0/ 0/3,11,BFFHUD9CKK2E8HG6,active,-,-,-,yes,The sweltering decency swears.
0/ 0/3,12,NQD14BXWO1JMX3DV,active,online,normal,match,no,The high-pitched question harms.
0/ 0/3,13,2PENTXJIDR8N6KIL,active,offline,initial,initial,no,The trashy disregard shades.
0/ 0/3,14,O20WS0BV9W2JJYRT,active,offline,initial,initial,no,The lush pause chases.
0/ 0/3,15,CMEZWMNLS4AHDLF2,active,online,normal,mismatch,no,The shivering thousand devises.
0/ 0/3,16,PZ9E9AKLT1BK91I1,active,-,-,-,yes,The bloody entrepreneur promises.
0/ 0/3,17,4NJ5FDSHCR57J94S,active,online,normal,match,no,The hulking revascularization shuts.
0/ 0/3,18,UVQ4TPO7N7ROYSST,active,online,normal,mismatch,no,The tranquil jodhpurs details.
0/ 0/3,19,QXECXY3L7MN7LYWN,active,online,normal,mismatch,no,The poor video twists.
0/ 0/3,20,OEEV4YFCM7W7ZNAJ,active,-,-,-,yes,The aboard zombie precedes.
0/ 0/3,21,15SXHDH8PZIF44ZR,active,online,normal,mismatch,no,The quick cayenne bends.
0/ 0/3,22,OITKPUCE13ZW51X7,active,online,normal,mismatch,no,The nice diarist pinches.
0/ 0/3,23,JBCBS2HIRDYS7GF7,active,offline,initial,initial,no,The flat coaster weeps.
0/ 0/3,24,R818RIHTLZ675W5M,active,online,normal,mismatch,no,The flowery polyp picks.
0/ 0/3,25,9C0MN83GW5BV1JGG,active,-,-,-,yes,The ancient proponent arranges.
0/ 0/3,26,JHGBID1RFX40VG92,active,-,-,-,yes,The tasteless thigh dams.
0/ 0/3,27,HU1VRMIQJB6I894H,active,offline,initial,initial,no,The hissing airfield coordinates.
0/ 0/4,0,KQQZ1JAOFU9H10H6,active,online,normal,match,no,The horrible platform picks.
0/ 0/4,1,A26ERV2TT6EB7A5E,active,offline,initial,initial,no,The plain pancreas perfects.
0/ 0/4,2,Z9T5K70O679UYS8G,active,offline,initial,initial,no,The functional sip anticipates.
0/ 0/4,3,B76P3JN26IX5GM9X,active,online,normal,mismatch,no,The astonishing icy tours.
0/ 0/4,4,P8553YUY88UO2GXG,active,-,-,-,yes,The elite tentacle touches.
0/ 0/4,5,5SKHBH5JM3ZG0E1C,active,online,normal,mismatch,no,The quickest bin proves.
0/ 0/4,6,XDR5P17JVZPGUNDW,active,-,-,-,yes,The deep collectivisation dissects.
0/ 0/4,7,05EPGQFC098SKAVO,active,online,normal,mismatch,no,The pleasant icicle backs.
0/ 0/4,8,G2WTBH0ELE28ZIKG,active,-,-,-,yes,The protective lobby interviews.
0/ 0/4,9,MPYFEXS3ZLI3HOEH,active,online,normal,mismatch,no,The vague simplification sings.
0/ 0/4,10,2TJ1QSCF0A8CBBFF,active,-,-,-,yes,The detailed diversity pecks.
0/ 0/4,11,CW9788KE41SVV37U,active,online,normal,mismatch,no,The flawless arthur stamps.
0/ 0/4,12,6RLO61R2XRKB9JZP,active,online,normal,mismatch,no,The incompetent belief confesses.
0/ 0/4,13,1X1XS0UH1BWLFXGN,active,-,-,-,yes,The clammy terrorism slinks.
0/ 0/4,14,TPSSVBZVV2JIAJR6,active,offline,initial,initial,no,The steadfast essential knits.
0/ 0/4,15,1BS0420F4DDHDG4O,active,online,normal,match,no,The unaccountable mangrove groans.
0/ 0/4,16,TEZAU8VUJU33SI1S,active,online,normal,mismatch,no,The slippery bag creates.
0/ 0/4,17,DTCSQG2XW6GAVWOQ,active,offline,initial,initial,no,The tawdry eating flowers.
0/ 0/4,18,BZKZL7720VNK2RYM,active,-,-,-,yes,The lush album pours.
0/ 0/4,19,AL3SEXQPLWKXY1UO,active,online,normal,mismatch,no,The adhesive misreading details.
0/ 0/4,20,M8DLU7TQ0FLDM4LS,active,offline,initial,initial,no,The heavenly somersault rides.
0/ 0/5,0,67PU3M1LE0MOJ7DA,active,-,-,-,yes,The rambunctious lychee inventories.
0/ 0/5,1,PVDS2SABIBERJSKE,active,online,normal,mismatch,no,The heavenly agenda justifies.
0/ 0/6,0,E3J42JZSL850YEF3,active,-,-,-,yes,The disturbed lemur arrives.
0/ 0/6,1,NMCNS378YFIA6P5F,active,online,normal,mismatch,no,The obeisant ketch camps.
0/ 0/6,2,TU3NXI9D2475TO6J,active,offline,initial,initial,no,The sparkling reparation drips.
0/ 0/6,3,HBUM1SW65QS56CPM,active,offline,initial,initial,no,The snotty download succeeds.
0/ 0/6,4,XSM93V79RDS2AFDN,active,-,-,-,yes,The wrathful puritan operates.
0/ 0/6,5,0GQCNZDPFPLAOQZ1,active,-,-,-,yes,The observant blue lands.
0/ 0/6,6,DVYDQO3JHB66KR05,active,online,normal,mismatch,no,The waggish pass perceives.
0/ 0/6,7,BZDXLPD88WX8A92C,active,-,-,-,yes,The quick strife regulates.
0/ 0/6,8,579BTG6OJ9ONFIEO,active,online,normal,match,no,The cultured airport squeals.
0/ 0/6,9,FMTU40RYMENJ7VI0,active,online,normal,match,no,The exclusive poetry questions.
0/ 0/6,10,WX4EI4NMIU1CTSZO,active,offline,initial,initial,no,The cowardly pennant classifies.
0/ 0/6,11,ZV9FXAV2C0MY6AFD,active,offline,initial,initial,no,The doubtful load transcribes.
0/ 0/6,12,3KLO1XOT0FZ4QF8W,active,offline,initial,initial,no,The spectacular hand pricks.
0/ 0/6,13,5BWLJID7GVV0ODK4,active,online,normal,mismatch,no,The shrill go-kart boils.
0/ 0/6,14,YRQ2EWYK00OW9RP1,active,online,normal,match,no,The loose copy strengthens.
0/ 0/6,15,O02MXZRZ83TGIA4U,active,offline,initial,initial,no,The hellish eye walks.
0/ 0/6,16,0JME4ZUCJ83JGVNQ,active,online,normal,mismatch,no,The womanly productivity logs.
0/ 0/6,17,ASAIO26FCKCHDPB9,active,offline,initial,initial,no,The evasive accuracy enjoys.
0/ 0/6,18,QM4MFMNIWB4QZ8U1,active,online,normal,match,no,The fertile senator attains.
0/ 0/6,19,EKJ46ZWIJ0TAU2EA,active,online,normal,mismatch,no,The tiresome pickax recruits.
0/ 0/6,20,RSGM6QJNI5Z0VEZQ,active,offline,initial,initial,no,The tenuous pompom welcomes.
0/ 0/6,21,9ASYAB0YS7TSHGYG,active,offline,initial,initial,no,The rotten crude breathes.
0/ 0/6,22,D8O7QM6M9E2Y3GI3,active,-,-,-,yes,The bashful purple weaves.
0/ 0/6,23,DK6I9V5KDFNI03PW,active,offline,initial,initial,no,The historical discipline picks.
0/ 0/6,24,F777GHXFRX2HV7D8,active,online,normal,mismatch,no,The spicy flow listens.
0/ 0/6,25,DUNGCZXCDN8HGDDT,active,offline,initial,initial,no,The dead shoe-horn sketches.
0/ 0/6,26,59A0LJU8AOHJ306B,active,online,normal,match,no,The cagey vineyard wobbles.
0/ 0/6,27,UUHUGSU7KL8QOK2R,active,online,normal,match,no,The various penny places.
0/ 0/7,0,62F6XWH3K5J8XSBH,active,online,normal,match,no,The small escort translates.
0/ 0/7,1,U1OMD60B0M7SR0PU,active,offline,initial,initial,no,The freezing shame acquires.
0/ 0/7,2,Q6T10I1R0OKXL7MO,active,online,normal,mismatch,no,The aboard curve raises.
0/ 0/7,3,DEK7O3XIPB68OXNY,active,online,normal,match,no,The few sigh synthesizes.
0/ 0/7,4,VPPT6ZLZQPV2NPH6,active,online,normal,match,no,The naive lung clips.
0/ 0/7,5,QL17MA7PAJ7XC06W,active,online,normal,match,no,The ragged mutation withstands.
0/ 0/7,6,KIQBU7HCPLFQD1OT,active,offline,initial,initial,no,The stormy resist milks.
